Κωδικός_Φορέα,Ονομασία_Φορέα,Κωδικός_Υπηρεσίας,Ονομασία_Υπηρεσίας,Κωδικός_Δαπάνης,Ονομασία_Δαπάνης,2025
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-801-0000000,Δαπάνες της Ανεξάρτητης Διοικητικής Αρχής Ανώτατο Συμβούλιο Επιλογής Προσωπικού που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών,31,Πάγια περιουσιακά στοιχεία,150000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-802-0000000,Δαπάνες της Ανεξάρτητης Διοικητικής Αρχής Συνήγορος του Πολίτη που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών,21,Παροχές σε εργαζομένους,6702000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-802-0000000,Δαπάνες της Ανεξάρτητης Διοικητικής Αρχής Συνήγορος του Πολίτη που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών,23,Μεταβιβάσεις,6000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-802-0000000,Δαπάνες της Ανεξάρτητης Διοικητικής Αρχής Συνήγορος του Πολίτη που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών,24,Αγορές αγαθών και υπηρεσιών,950000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-802-0000000,Δαπάνες της Ανεξάρτητης Διοικητικής Αρχής Συνήγορος του Πολίτη που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών,31,Πάγια περιουσιακά στοιχεία,80000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-803-0000000,"Δαπάνες της Ανεξάρτητης Αρχής ""Εθνική Αρχή Διαφάνειας"" που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών",21,Παροχές σε εργαζομένους,5458000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-803-0000000,"Δαπάνες της Ανεξάρτητης Αρχής ""Εθνική Αρχή Διαφάνειας"" που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών",24,Αγορές αγαθών και υπηρεσιών,2821000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-803-0000000,"Δαπάνες της Ανεξάρτητης Αρχής ""Εθνική Αρχή Διαφάνειας"" που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών",31,Πάγια περιουσιακά στοιχεία,468000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-999-0100000,Γενική Διεύθυνση του τομέα Μακεδονίας και Θράκης του Υπουργείου Εσωτερικών,21,Παροχές σε εργαζομένους,2595000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-999-0100000,Γενική Διεύθυνση του τομέα Μακεδονίας και Θράκης του Υπουργείου Εσωτερικών,23,Μεταβιβάσεις,1250000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-999-0100000,Γενική Διεύθυνση του τομέα Μακεδονίας και Θράκης του Υπουργείου Εσωτερικών,24,Αγορές αγαθών και υπηρεσιών,816000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-999-0100000,Γενική Διεύθυνση του τομέα Μακεδονίας και Θράκης του Υπουργείου Εσωτερικών,31,Πάγια περιουσιακά στοιχεία,78000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-101-0000000,"Γραφεία Υπουργού, Αναπληρωτών Υπουργών, Υφυπουργών, Γενικών και Ειδικών Γραμματέων, Αναπληρωτών Γενικών Γραμματέων και Υπηρεσιακού Γραμματέα του Υπουργείου Εξωτερικών",21,Παροχές σε εργαζομένους,4750000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-101-0000000,"Γραφεία Υπουργού, Αναπληρωτών Υπουργών, Υφυπουργών, Γενικών και Ειδικών Γραμματέων, Αναπληρωτών Γενικών Γραμματέων και Υπηρεσιακού Γραμματέα του Υπουργείου Εξωτερικών",24,Αγορές αγαθών και υπηρεσιών,6469000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-201-0000000,Υπηρεσιακή Γενική Γραμματεία του Υπουργείου Εξωτερικών,21,Παροχές σε εργαζομένους,15385000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-201-0000000,Υπηρεσιακή Γενική Γραμματεία του Υπουργείου Εξωτερικών,22,Κοινωνικές παροχές,2250000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-201-0000000,Υπηρεσιακή Γενική Γραμματεία του Υπουργείου Εξωτερικών,23,Μεταβιβάσεις,245000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-201-0000000,Υπηρεσιακή Γενική Γραμματεία του Υπουργείου Εξωτερικών,24,Αγορές αγαθών και υπηρεσιών,27965000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-201-0000000,Υπηρεσιακή Γενική Γραμματεία του Υπουργείου Εξωτερικών,31,Πάγια περιουσιακά στοιχεία,980000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-206-0000000,Γενική Γραμματεία Διεθνών Οικονομικών Σχέσεων και Εξωστρέφειας,21,Παροχές σε εργαζομένους,3603000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-206-0000000,Γενική Γραμματεία Διεθνών Οικονομικών Σχέσεων και Εξωστρέφειας,23,Μεταβιβάσεις,1145000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-206-0000000,Γενική Γραμματεία Διεθνών Οικονομικών Σχέσεων και Εξωστρέφειας,24,Αγορές αγαθών και υπηρεσιών,40000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-206-0000000,Γενική Γραμματεία Διεθνών Οικονομικών Σχέσεων και Εξωστρέφειας,29,Πιστώσεις υπό κατανομή,4045000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-208-0000000,Γενική Γραμματεία Δημόσιας Διπλωματίας και Απόδημου Ελληνισμού,21,Παροχές σε εργαζομένους,3453000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-208-0000000,Γενική Γραμματεία Δημόσιας Διπλωματίας και Απόδημου Ελληνισμού,23,Μεταβιβάσεις,610000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-208-0000000,Γενική Γραμματεία Δημόσιας Διπλωματίας και Απόδημου Ελληνισμού,24,Αγορές αγαθών και υπηρεσιών,135000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-208-0000000,Γενική Γραμματεία Δημόσιας Διπλωματίας και Απόδημου Ελληνισμού,29,Πιστώσεις υπό κατανομή,875000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-401-0000000,Αρχές Εξωτερικής Υπηρεσίας,21,Παροχές σε εργαζομένους,108563000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-401-0000000,Αρχές Εξωτερικής Υπηρεσίας,23,Μεταβιβάσεις,154829000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-401-0000000,Αρχές Εξωτερικής Υπηρεσίας,24,Αγορές αγαθών και υπηρεσιών,48339000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-401-0000000,Αρχές Εξωτερικής Υπηρεσίας,26,Τόκοι,100000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-401-0000000,Αρχές Εξωτερικής Υπηρεσίας,31,Πάγια περιουσιακά στοιχεία,1449000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-401-0000000,Αρχές Εξωτερικής Υπηρεσίας,54,Δάνεια,130000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-501-0000000,"Λοιπές μονάδες/αυτοτελείς μονάδες του Υπουργείου Εξωτερικών, οι οποίες υπάγονται στον Υπουργό/Αναπληρωτές Υπουργούς/Υφυπουργούς/Υπηρεσιακό Γραμματέα ή λειτουργούν στο Υπουργείο",21,Παροχές σε εργαζομένους,4668000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-501-0000000,"Λοιπές μονάδες/αυτοτελείς μονάδες του Υπουργείου Εξωτερικών, οι οποίες υπάγονται στον Υπουργό/Αναπληρωτές Υπουργούς/Υφυπουργούς/Υπηρεσιακό Γραμματέα ή λειτουργούν στο Υπουργείο",24,Αγορές αγαθών και υπηρεσιών,205000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,1009-501-0000000,"Λοιπές μονάδες/αυτοτελείς μονάδες του Υπουργείου Εξωτερικών, οι οποίες υπάγονται στον Υπουργό/Αναπληρωτές Υπουργούς/Υφυπουργούς/Υπηρεσιακό Γραμματέα ή λειτουργούν στο Υπουργείο",31,Πάγια περιουσιακά στοιχεία,4000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-101-0000000,"Γραφεία Υπουργού, Αναπληρωτών Υπουργών, Υφυπουργών, Γενικών και Ειδικών Γραμματέων, Αναπληρωτών Γενικών Γραμματέων και Yπηρεσιακού Γραμματέα του Υπουργείου Εθνικής Άμυνας",21,Παροχές σε εργαζομένους,5522000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-201-0000000,Γενικό Επιτελείο Εθνικής Άμυνας,21,Παροχές σε εργαζομένους,65000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-201-0000000,Γενικό Επιτελείο Εθνικής Άμυνας,23,Μεταβιβάσεις,35537000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-201-0000000,Γενικό Επιτελείο Εθνικής Άμυνας,24,Αγορές αγαθών και υπηρεσιών,12160000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-201-0000000,Γενικό Επιτελείο Εθνικής Άμυνας,31,Πάγια περιουσιακά στοιχεία,1251000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-0000000,Γενικό Επιτελείο Στρατού,21,Παροχές σε εργαζομένους,1551545000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-0000000,Γενικό Επιτελείο Στρατού,22,Κοινωνικές παροχές,36655000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-0000000,Γενικό Επιτελείο Στρατού,23,Μεταβιβάσεις,1230000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-0000000,Γενικό Επιτελείο Στρατού,24,Αγορές αγαθών και υπηρεσιών,192243000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-0000000,Γενικό Επιτελείο Στρατού,27,Λοιπές δαπάνες,1330000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-0000000,Γενικό Επιτελείο Στρατού,31,Πάγια περιουσιακά στοιχεία,6442000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-9900100,Ελληνική Δύναμη Κύπρου,21,Παροχές σε εργαζομένους,55000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-9900100,Ελληνική Δύναμη Κύπρου,22,Κοινωνικές παροχές,164000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,1011-202-9900100,Ελληνική Δύναμη Κύπρου,24,Αγορές αγαθών και υπηρεσιών,2202000
