Κωδικός Φορέα,Ονομασία Φορέα,Τακτικός Προυπολογισμός,Προυπολογισμός Δημόσιων Επενδύσεων,Έτος
1033,Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,19471800000,420000000,2020
1035,Υπουργείο Ανάπτυξης και Επενδύσεων,158846000,2261000000,2020
1039,Υπουργείο Υποδομών και Μεταφορών,533867000,1467000000,2020
1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,266800000,140000000,2020
1045,Υπουργείο Τουρισμού,36680000,33000000,2020
1057,Υπουργείο Προστασίας του Πολίτη,2365481000,105000000,2020
1053,Υπουργείο Ψηφιακής Διακυβέρνησης,132279000,60000000,2020
1901,Αποκεντρωμένη Διοίκηση Αττικής,19856000,0,2020
1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,27484000,0,2020
1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,18937000,0,2020
1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,35146000,0,2020
1905,Αποκεντρωμένη Διοίκηση Αιγαίου,10220000,0,2020
1906,Αποκεντρωμένη Διοίκηση Κρήτης,11208000,0,2020
1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,42245000,0,2020
